2017,,2018,,2019,,2020,,2021,,2022,,SARIMA,lower T_mu_actual,upper T_mu_actual
1/1/2017 0:00,-7.674,1/1/2018 0:00,-1.4,1/1/2019 0:00,30,1/1/2020 0:00,-1.7,1/1/2021 0:00,6.5,01.01.2022 00:00:00,-0.021,1/1/2023 0:00,2.668111274,10.77397534
1/1/2017 1:00,-7.914,1/1/2018 1:00,-2.8,1/1/2019 1:00,30,1/1/2020 1:00,-1.6,1/1/2021 1:00,6.3,01.01.2022 01:00:00,0.188,1/1/2023 1:00,3.677896214,11.78376028
1/1/2017 2:00,-8.612,1/1/2018 2:00,-3,1/1/2019 2:00,30,1/1/2020 2:00,-1.9,1/1/2021 2:00,6.3,01.01.2022 02:00:00,0.95,1/1/2023 2:00,2.993481742,11.09934581
1/1/2017 3:00,-8.928,1/1/2018 3:00,-3.5,1/1/2019 3:00,30,1/1/2020 3:00,-2.9,1/1/2021 3:00,5.6,01.01.2022 03:00:00,-0.059,1/1/2023 3:00,2.475757998,10.58162207
1/1/2017 4:00,-8.299,1/1/2018 4:00,-2.7,1/1/2019 4:00,30,1/1/2020 4:00,-2.8,1/1/2021 4:00,4.5,01.01.2022 04:00:00,-0.993,1/1/2023 4:00,0.88902656,8.994890627
1/1/2017 5:00,-9.408,1/1/2018 5:00,-4.1,1/1/2019 5:00,30,1/1/2020 5:00,-3.6,1/1/2021 5:00,4.5,01.01.2022 05:00:00,-1.237,1/1/2023 5:00,-0.209957358,7.89590671
1/1/2017 6:00,-9.622,1/1/2018 6:00,-2,1/1/2019 6:00,30,1/1/2020 6:00,-4.9,1/1/2021 6:00,3.5,01.01.2022 06:00:00,-1.203,1/1/2023 6:00,0.217852118,8.323716185
1/1/2017 7:00,-10.773,1/1/2018 7:00,-2.9,1/1/2019 7:00,30,1/1/2020 7:00,2.7,1/1/2021 7:00,0.8,01.01.2022 07:00:00,-1.203,1/1/2023 7:00,-0.071345296,8.034518771
1/1/2017 8:00,-10.106,1/1/2018 8:00,-3.3,1/1/2019 8:00,30,1/1/2020 8:00,2.6,1/1/2021 8:00,1.3,01.01.2022 08:00:00,-1.374,1/1/2023 8:00,-3.084460468,5.021403599
1/1/2017 9:00,-6.664,1/1/2018 9:00,0.5,1/1/2019 9:00,30,1/1/2020 9:00,4.1,1/1/2021 9:00,4.5,01.01.2022 09:00:00,-0.646,1/1/2023 9:00,-1.888931484,6.216932583
1/1/2017 10:00,-3.813,1/1/2018 10:00,2.2,1/1/2019 10:00,30,1/1/2020 10:00,4.9,1/1/2021 10:00,8.1,01.01.2022 10:00:00,-0.059,1/1/2023 10:00,1.757578977,9.863443044
1/1/2017 11:00,-1.942,1/1/2018 11:00,4.4,1/1/2019 11:00,30,1/1/2020 11:00,5.4,1/1/2021 11:00,10,01.01.2022 11:00:00,1.263,1/1/2023 11:00,4.143350533,12.2492146
1/1/2017 12:00,-0.128,1/1/2018 12:00,5.2,1/1/2019 12:00,30,1/1/2020 12:00,5.9,1/1/2021 12:00,10.5,01.01.2022 12:00:00,2.719,1/1/2023 12:00,6.234563404,14.34042747
1/1/2017 13:00,1.915,1/1/2018 13:00,9.4,1/1/2019 13:00,30,1/1/2020 13:00,6.2,1/1/2021 13:00,11,01.01.2022 13:00:00,4.106,1/1/2023 13:00,7.183270467,15.28913453
1/1/2017 14:00,1.53,1/1/2018 14:00,10.9,1/1/2019 14:00,30,1/1/2020 14:00,6,1/1/2021 14:00,11,01.01.2022 14:00:00,5.459,1/1/2023 14:00,7.204049843,15.30991391
1/1/2017 15:00,1.675,1/1/2018 15:00,12.1,1/1/2019 15:00,30,1/1/2020 15:00,5.5,1/1/2021 15:00,10.7,01.01.2022 15:00:00,6.915,1/1/2023 15:00,7.113899081,15.21976315
1/1/2017 16:00,-0.414,1/1/2018 16:00,11.5,1/1/2019 16:00,30,1/1/2020 16:00,4.5,1/1/2021 16:00,8.3,01.01.2022 16:00:00,5.874,1/1/2023 16:00,5.441988037,13.5478521
1/1/2017 17:00,-2.739,1/1/2018 17:00,9.7,1/1/2019 17:00,30,1/1/2020 17:00,3.2,1/1/2021 17:00,5.5,01.01.2022 17:00:00,5.181,1/1/2023 17:00,3.212732913,11.31859698
1/1/2017 18:00,-4.999,1/1/2018 18:00,11,1/1/2019 18:00,30,1/1/2020 18:00,1.5,1/1/2021 18:00,5.2,01.01.2022 19:00:00,4.628,1/1/2023 18:00,1.244646982,9.350511049
1/1/2017 19:00,-4.995,1/1/2018 19:00,7.3,1/1/2019 19:00,30,1/1/2020 19:00,2.4,1/1/2021 19:00,4.2,01.01.2022 20:00:00,5.463,1/1/2023 19:00,2.023412266,10.12927633
1/1/2017 20:00,-5.974,1/1/2018 20:00,7.6,1/1/2019 20:00,30,1/1/2020 20:00,1.6,1/1/2021 20:00,3.3,01.01.2022 21:00:00,4.906,1/1/2023 20:00,-0.415274462,7.690589605
1/1/2017 21:00,-6.211,1/1/2018 21:00,9.9,1/1/2019 21:00,30,1/1/2020 21:00,1,1/1/2021 21:00,3.2,01.01.2022 22:00:00,6.431,1/1/2023 21:00,-0.166955353,7.938908714
1/1/2017 22:00,-6.39,1/1/2018 22:00,6.6,1/1/2019 22:00,30,1/1/2020 22:00,2.5,1/1/2021 22:00,1.3,01.01.2022 23:00:00,5.909,1/1/2023 22:00,-0.268337444,7.837526623
1/1/2017 23:00,-7.354,1/1/2018 23:00,8.2,1/1/2019 23:00,30,1/1/2020 23:00,1.4,1/1/2021 23:00,2,02.01.2022 00:00:00,7.022,1/1/2023 23:00,-2.396358189,5.709505879
1/2/2017 0:00,-7.716,1/2/2018 0:00,7.8,1/2/2019 0:00,30,1/2/2020 0:00,1.2,1/2/2021 0:00,1.9,02.01.2022 01:00:00,6.812,1/2/2023 0:00,-1.095459128,7.010404939
1/2/2017 1:00,-7.434,1/2/2018 1:00,7.7,1/2/2019 1:00,30,1/2/2020 1:00,1.7,1/2/2021 1:00,0.5,02.01.2022 02:00:00,5.631,1/2/2023 1:00,-0.89351835,7.212345717
1/2/2017 2:00,-7.533,1/2/2018 2:00,6.6,1/2/2019 2:00,30,1/2/2020 2:00,1.8,1/2/2021 2:00,-1.2,02.01.2022 03:00:00,5.425,1/2/2023 2:00,-2.498822073,5.607041994
1/2/2017 3:00,-8.859,1/2/2018 3:00,6.5,1/2/2019 3:00,30,1/2/2020 3:00,1.1,1/2/2021 3:00,-1.2,02.01.2022 04:00:00,5.322,1/2/2023 3:00,-4.23133812,3.874525947
1/2/2017 4:00,-8.471,1/2/2018 4:00,6.4,1/2/2019 4:00,30,1/2/2020 4:00,-1.7,1/2/2021 4:00,-1.9,02.01.2022 05:00:00,4.628,1/2/2023 4:00,-5.350668476,2.755195592
1/2/2017 5:00,-9.138,1/2/2018 5:00,6.4,1/2/2019 5:00,30,1/2/2020 5:00,-2.7,1/2/2021 5:00,-2.4,02.01.2022 06:00:00,4.209,1/2/2023 5:00,-5.756113089,2.349750978
