,,,,,,,,,,,,SARIMA,,
datetime2017,Humidity_2017,datetime2018,Humidity_2018,datetime2019,Humidity_2019,datetime2020,Humidity_2020,datetime2021,Humidity_2021,datetime2022,Humidity_2022,datetime_sarima,lower H_mu_actual,upper H_mu_actual
1/1/2017 0:00,92.576,1/1/2018 0:00,100.2,1/1/2019 0:00,50,1/1/2020 0:00,90,1/1/2021 0:00,77,1/1/2022 0:00,82.72116421,1/1/2021 0:00,70.31204178,95.12973433
1/1/2017 1:00,94.203,1/1/2018 1:00,100.2,1/1/2019 1:00,50,1/1/2020 1:00,90,1/1/2021 1:00,78,1/1/2022 1:00,72.81080366,1/1/2021 1:00,60.40453964,85.22223219
1/1/2017 2:00,95.751,1/1/2018 2:00,100.2,1/1/2019 2:00,50,1/1/2020 2:00,85,1/1/2021 2:00,76,1/1/2022 2:00,76.59344633,1/1/2021 2:00,64.18460946,89.00230201
1/1/2017 3:00,95.533,1/1/2018 3:00,100.2,1/1/2019 3:00,50,1/1/2020 3:00,91,1/1/2021 3:00,78,1/1/2022 3:00,79.55024834,1/1/2021 3:00,67.1405196,91.95821215
1/1/2017 4:00,92.854,1/1/2018 4:00,100.2,1/1/2019 4:00,50,1/1/2020 4:00,92,1/1/2021 4:00,81,1/1/2022 4:00,78.26560566,1/1/2021 4:00,65.86100461,90.67869716
1/1/2017 5:00,98.628,1/1/2018 5:00,100.2,1/1/2019 5:00,50,1/1/2020 5:00,94,1/1/2021 5:00,82,1/1/2022 5:00,85.14586299,1/1/2021 5:00,72.73601301,97.55370556
1/1/2017 6:00,100.232,1/1/2018 6:00,100.2,1/1/2019 6:00,50,1/1/2020 6:00,96,1/1/2021 6:00,80,1/1/2022 6:00,82.5223738,1/1/2021 6:00,70.11381942,94.93151197
1/1/2017 7:00,100.24,1/1/2018 7:00,100.2,1/1/2019 7:00,50,1/1/2020 7:00,63,1/1/2021 7:00,90,1/1/2022 7:00,80.81723541,1/1/2021 7:00,68.40841928,93.22611183
1/1/2017 8:00,99.638,1/1/2018 8:00,100.2,1/1/2019 8:00,50,1/1/2020 8:00,64,1/1/2021 8:00,89,1/1/2022 8:00,89.69012102,1/1/2021 8:00,77.28025522,102.0979478
1/1/2017 9:00,89.752,1/1/2018 9:00,89.5,1/1/2019 9:00,50,1/1/2020 9:00,58,1/1/2021 9:00,80,1/1/2022 9:00,89.89972637,1/1/2021 9:00,77.49033202,102.3080246
1/1/2017 10:00,83.692,1/1/2018 10:00,87.1,1/1/2019 10:00,50,1/1/2020 10:00,54,1/1/2021 10:00,64,1/1/2022 10:00,75.45272482,1/1/2021 10:00,63.0436684,87.86136095
1/1/2017 11:00,69.431,1/1/2018 11:00,83.3,1/1/2019 11:00,50,1/1/2020 11:00,50,1/1/2021 11:00,61,1/1/2022 11:00,63.00553898,1/1/2021 11:00,50.59418787,75.41188041
